title,author,category,price,publicationYear,description,imageUrl
Chúa Ruồi - Tiểu Thuyết (Nobel Văn Chương 1983)(Tái Bản 2020),William Golding,Tác phẩm kinh điển,52800,2000,,https://salt.tikicdn.com/ts/product/5f/97/52/a53eb98af3927cc5b5aeb08efa58d483.jpg
Cuốn Sách Hoàn Hảo Về Ngôn Ngữ Cơ Thể - Body Language (Tái Bản),Allan & Barbara Pease,Sách tư duy - Kỹ năng sống,159000,2000,,https://salt.tikicdn.com/ts/product/6f/e9/0c/3008cc78076b1ac7240c55bc014580d7.jpg
GIẬN (TBL22),Thích Nhất Hạnh,GIẬN (TBL22),116000,2000,,https://salt.tikicdn.com/ts/product/56/4a/55/ded53bb350d07e82bf01a2b819a0e100.jpg
Tàn Ngày Để Lại (Bìa Cứng),Kazuo Ishiguro,Tiểu Thuyết,101400,2000,,https://salt.tikicdn.com/ts/product/bc/82/ac/a6bf1a9e771d2741fbe89de5c121bad6.jpg
Thạch Sùng Trên Gác Mái,Trịnh Lịch Nhi,Truyện ngắn - Tản văn - Tạp Văn,50150,2000,,https://salt.tikicdn.com/media/catalog/product/t/h/thach-sung-con-tren-gac-mai-01.u53.d20170206.t174801.428508.jpg
Chia Rẽ - Tại Sao Chúng Ta Đang Sống Trong Thời Đại Của Những Bức Tường,Tim Marshall,Truyện ngắn - Tản văn - Tạp Văn,120000,2000,,https://salt.tikicdn.com/ts/product/15/ce/8e/0d9f11fc37b0de189ba66f4f07359108.jpg
Kafka bên bờ biển (Tái Bản 2020),Haruki Murakami,Tiểu Thuyết,94800,2000,,https://salt.tikicdn.com/ts/product/63/99/70/ec162960adeabe3f2ce2f63fe4a2ebf7.jpeg
Power Vs Force - Trường Năng Lượng Và Những Nhân Tố Quyết Định Hành Vi Của Con Người (Tái Bản),David R.Hawkins,Kiến Thức Bách Khoa,125300,2000,,https://salt.tikicdn.com/ts/product/37/54/79/b699efce8c0f4029f424019f561ef327.png
"Càng Kỷ Luật, Càng Tự Do",Ca Tây,Sách tư duy - Kỹ năng sống,74000,2000,,https://salt.tikicdn.com/ts/product/a3/57/75/7e17fd1bc79704272e6beba9968682c8.jpg
Chuyện Con Mèo Lập Kèo Cứu Sách,Natsukawa Sosuke,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,71400,2000,,https://salt.tikicdn.com/ts/product/17/70/9a/5ad6bb124699c08b6ff8e2971f8b2493.jpg
Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),Mai Lan Hương,Sách Học Tiếng Anh,151800,2000,,https://salt.tikicdn.com/ts/product/e1/04/31/7763d9035552760f627c34acfec0e12f.jpg
"Dear, Darling",Hiên,Truyện ngắn - Tản văn - Tạp Văn,61100,2000,,https://salt.tikicdn.com/ts/product/03/03/07/3fbe7cc39c9fe08b308274a03099c1c1.jpg
Thương Nhớ Mười Hai (Việt Nam Danh Tác) (Tái Bản),Vũ Bằng,Truyện ngắn - Tản văn - Tạp Văn,59400,2000,,https://salt.tikicdn.com/ts/product/92/f3/e0/83cda0f7600bd6e6644747c27ce6131d.jpg
Bộ sách Làm Giàu Từ Chứng Khoán (How To Make Money In Stock) phiên bản mới + Hướng Dẫn Thực Hành CANSLIM Cho Người Mới Bắt Đầu,William J. O’Neil,"Sách tài chính, tiền tệ",700000,2000,,https://salt.tikicdn.com/ts/product/16/02/ff/d8180a497eaf45bce49868b1af7be333.jpg
Gỗ Thần,Lưu Khánh Bang,Truyện trinh thám,67150,2000,,https://salt.tikicdn.com/ts/product/e7/61/3a/985d5ad2db9a3966a9013420954703d0.jpg
Tôi Nói Gì Khi Nói Về Chạy Bộ,Haruki Murakami,Truyện ngắn - Tản văn - Tạp Văn,59000,2000,,https://salt.tikicdn.com/ts/product/38/ca/e6/d2ef5065043a253429e6587f7b1bea57.jpg
Sức Mạnh Tiềm Thức (Tái Bản),Joseph Murphyc,Sách tư duy - Kỹ năng sống,84400,2000,,https://salt.tikicdn.com/media/catalog/producttmp/45/26/55/58d50e8dcd42e6ee0296008d823bd9b7.jpg
Nghệ Thuật Tư Duy Rành Mạch (Tái Bản),Rolf Dobelli,Sách tư duy - Kỹ năng sống,70800,2000,,https://salt.tikicdn.com/ts/product/ef/a6/94/70074b99dabd536696638bbf513401d4.jpg
Không Bao Giờ Là Thất Bại - Tất Cả Là Thử Thách (Ấn Bản Cập Nhật Đầy Đủ Nhất)(Bìa Cứng),Chung Ju Yung,Bài học kinh doanh,168800,2000,,https://salt.tikicdn.com/media/catalog/producttmp/b8/10/fd/0cef918a7aedb9ede38d46aeadc4bf2d.jpg
